dbn,school_name,address,lat,lon,district,school_type,grades,has_mshp,chronic_absenteeism_rate,enrollment
08X140,P.S. X140 The Eagle School,916 EAGLE AVENUE,40.823318,-73.907489,8,Elementary,"PK,0K,01,02,03,04,05",False,53.84615326,390.0
10X141,Riverdale / Kingsbridge Academy (Middle School / H,660 WEST 237 STREET,40.887407,-73.914141,10,Middle School,"06,07,08,09,10,11,12",False,18.87719345,1425.0
11X144,J.H.S. 144 Michelangelo,2545 GUNTHER AVENUE,40.863842,-73.836525,11,Middle School,"06,07,08",False,38.53658676,410.0
08X146,P.S. 146 Edward Collins,968 CAULDWELL AVENUE,40.824717,-73.905734,8,Elementary,"PK,0K,01,02,03,04,05",False,40.80996704,321.0
12X150,P.S. 150 Charles James Fox,920 EAST 167 STREET,40.82471,-73.894349,12,Elementary,"PK,0K,01,02,03,04,05",False,46.58273315,556.0
07X151,J.H.S. 151 Lou Gehrig,250 EAST 156 STREET,40.822574,-73.92114,7,Middle School,"06,07,08",False,,
08X152,P.S. 152 Evergreen,1007 EVERGREEN AVENUE,40.823941,-73.880479,8,Elementary,"PK,0K,01,02,03,04,05,SE",False,43.46630096,727.0
11X153,P.S. 153 Helen Keller,650 BAYCHESTER AVENUE,40.874035,-73.831669,11,Elementary,"0K,01,02,03,04,05",False,22.92576408,458.0
07X154,P.S. 154 Jonathan D. Hyatt,333 EAST 135 STREET,40.808194,-73.925459,7,Elementary,"PK,0K,01,02,03,04,05",False,25.0,240.0
07X157,P.S. 157 Grove Hill,757 CAULDWELL AVENUE,40.819419,-73.908965,7,Elementary,"PK,0K,01,02,03,04,05",False,35.26570129,414.0
10X159,P.S. 159 Luis Munoz Marin Biling,2315 WASHINGTON AVENUE,40.85568,-73.893136,10,Elementary,"0K,01,02,03,04,05",False,27.39726067,146.0
11X160,P.S. 160 Walt Disney,4140 HUTCHINSON RIVER PKWAY EA,40.864073,-73.823816,11,Elementary,"0K,01,02,03,04,05",False,25.24590111,305.0
07X161,P.S. 161 Juan Ponce De Leon School,628 TINTON AVENUE,40.814168,-73.905233,7,Elementary,"PK,0K,01,02,03,04,05",False,41.86746979,332.0
09X163,P.S. 163 Arthur A. Schomburg,2075 WEBSTER AVENUE,40.8517,-73.899005,9,Elementary,"0K,01,02,03,04,05",False,35.56851196,343.0
75X168,P.S. 168,3050 WEBSTER AVENUE,40.869482,-73.878731,10,Elementary,"PK,01,02,03,04,05,06,07,08,09,10,11,12,SE",False,,
