dbn,school_name,address,lat,lon,district,school_type,grades,has_mshp,chronic_absenteeism_rate,enrollment,uhf_code,uhf_name,asthma_ed_rate,asthma_hosp_rate,svi_socioeconomic,svi_household_disability,svi_minority_language,svi_housing_transport,svi_overall,pct_poverty,pct_ell,pct_swd,pct_black,pct_hispanic,pct_white,pct_asian,childhood_obesity_pct,youth_mental_health_ed_rate,lead_elevated_pct,teen_pregnancy_rate,preventable_hosp_rate,food_insecurity_pct,expansion_cohort,estimated_start_year,years_with_mshp,health_burden_composite
07X065,P.S. 065 Mother Hale Academy,677 EAST 141 STREET,40.807916,-73.912557,7,Elementary,"PK,0K,01,02,03,04,05",False,32.92683029,246.0,107,Hunts Point - Mott Haven,192.3,347.2,0.95,0.88,0.92,0.9,0.9125,0.9359999999999999,0.145,0.241,0.309,0.655,0.024,0.004,34.5,168.4,4.5,48.2,268.5,38.2,,,,100.0
12X066,P.S. 066 School of Higher Expectations,1001 JENNINGS STREET,40.831493,-73.88654,12,Elementary,"PK,0K,01,02,03,04,05",False,33.39731216,521.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.8909999999999999,0.179,0.181,0.269,0.702,0.01,0.01,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
12X067,P.S. 067 Mohegan School,2024 MOHEGAN AVENUE,40.843781,-73.884192,12,Elementary,"PK,0K,01,02,03,04,05",False,45.77259445,343.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.96,0.117,0.223,0.292,0.682,0.006,0.0,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
11X068,P.S. 068 Bronx,4011 MONTICELLO AVENUE,40.891603,-73.83888,11,Elementary,"PK,0K,01,02,03,04,05",False,37.0370369,540.0,102,Northeast Bronx,104.6,306.0,0.65,0.58,0.75,0.55,0.6325000000000001,0.7020000000000001,0.018,0.265,0.729,0.209,0.02,0.011,22.3,98.4,1.2,18.5,142.3,18.2,,,,50.81511316086077
08X069,P.S. 069 Journey Prep School,560 THIERIOT AVENUE,40.8167,-73.86046,8,Elementary,"PK,0K,01,02,03,04,05",False,38.97637939,508.0,104,Pelham - Throgs Neck,98.3,294.5,0.62,0.55,0.7,0.48,0.5874999999999999,0.8640000000000001,0.189,0.196,0.198,0.719,0.025,0.04,24.1,102.1,1.5,22.1,158.2,20.1,,,,53.723258754918824
09X070,P.S. 070 Max Schoenfeld,1691 WEEKS AVENUE,40.844236,-73.90807,9,Elementary,"0K,01,02,03,04,05",False,40.14598465,822.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.96,0.256,0.215,0.207,0.774,0.006,0.008,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
08X071,P.S. 071 Rose E. Scala,3040 ROBERTS AVENUE,40.845379,-73.829562,8,Elementary,"PK,0K,01,02,03,04,05,06,07,08",False,34.85513687,1139.0,104,Pelham - Throgs Neck,98.3,294.5,0.62,0.55,0.7,0.48,0.5874999999999999,0.726,0.12,0.188,0.052,0.617,0.206,0.11,24.1,102.1,1.5,22.1,158.2,20.1,,,,53.723258754918824
08X072,P.S. 072 Dr. William Dorney,2951 DEWEY AVENUE,40.823237,-73.818172,8,Elementary,"PK,0K,01,02,03,04,05,SE",False,47.14064789,647.0,104,Pelham - Throgs Neck,98.3,294.5,0.62,0.55,0.7,0.48,0.5874999999999999,0.828,0.081,0.259,0.196,0.671,0.062,0.063,24.1,102.1,1.5,22.1,158.2,20.1,,,,53.723258754918824
09X073,P.S. 073 Bronx,1020 ANDERSON AVENUE,40.832609,-73.926415,9,Elementary,"PK,0K,01,02,03,04,05",False,53.45911789,318.0,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.96,0.24,0.185,0.256,0.738,0.006,0.0,32.8,158.3,3.8,42.3,245.2,35.8,,,,91.77022147534737
08X075,P.S. 75 School of Research and Discovery,984 FAILE STREET,40.822314,-73.888948,8,Elementary,"PK,0K,01,02,03,04,05",False,39.12248611,547.0,107,Hunts Point - Mott Haven,192.3,347.2,0.95,0.88,0.92,0.9,0.9125,0.861,0.193,0.231,0.214,0.734,0.013,0.013,34.5,168.4,4.5,48.2,268.5,38.2,,,,100.0
