priority_rank,dbn,school_name,school_type,address,uhf_name,asthma_ed_rate,chronic_absenteeism_rate,enrollment,asthma_score,absenteeism_score,enrollment_score,priority_score,priority_tier
137,08X182,P.S. 182,Elementary,601 STICKBALL BOULEVARD,Pelham - Throgs Neck,98.3,46.81818008,440.0,14.2,83.2,64.3,51.8,Tier 3 - Moderate
138,08X093,P.S. 093 Albert G. Oliver,Elementary,1535 STORY AVENUE,Pelham - Throgs Neck,98.3,48.51485062,404.0,14.2,86.7,56.1,51.6,Tier 3 - Moderate
139,11X326,Bronx Green Middle School,Middle School,2441 WALLACE AVENUE,Fordham - Bronx Park,132.4,42.63158035,380.0,39.7,71.7,35.1,51.6,Tier 3 - Moderate
140,10X565,High School for Energy and Technology,High School,2474 CROTONA AVENUE,Fordham - Bronx Park,132.4,43.39080429,348.0,39.7,73.8,30.6,51.5,Tier 3 - Moderate
141,10X086,P.S. 086 Kingsbridge Heights,Elementary,2756 RESERVOIR AVENUE,Fordham - Bronx Park,132.4,37.40326691,1163.0,39.7,39.5,98.3,51.3,Tier 3 - Moderate
142,11X097,P.S. 097 Bronx,Elementary,1375 MACE AVENUE,Northeast Bronx,104.6,39.39393997,627.0,28.1,58.4,83.2,51.3,Tier 3 - Moderate
143,10X291,P.S. 291,Elementary,2195 ANDREWS AVENUE,Crotona - Tremont,171.9,38.80596924,335.0,57.7,55.9,26.7,50.8,Tier 3 - Moderate
144,12X383,Emolior Academy,High School,1970 WEST FARMS ROAD,Crotona - Tremont,171.9,37.68473053,406.0,57.7,40.9,56.8,50.8,Tier 3 - Moderate
145,07X043,P.S. 043 Jonas Bronck,Elementary,165 BROWN PLACE,Hunts Point - Mott Haven,192.3,26.90355301,394.0,94.1,12.6,40.2,50.7,Tier 3 - Moderate
146,07X065,P.S. 065 Mother Hale Academy,Elementary,677 EAST 141 STREET,Hunts Point - Mott Haven,192.3,32.92683029,246.0,94.1,26.6,10.5,50.4,Tier 3 - Moderate
147,09X204,P.S. 204 Morris Heights,Elementary,1780 DR. MARTIN LUTHER KING JR. BLVD,Crotona - Tremont,171.9,33.11475372,610.0,57.7,27.3,81.5,50.3,Tier 3 - Moderate
148,07X224,P.S./I.S. 224,Middle School,345 BROOK AVENUE,Hunts Point - Mott Haven,192.3,34.05405426,185.0,94.1,28.7,4.9,50.1,Tier 3 - Moderate
149,09X219,I.S. 219 New Venture School,Middle School,3630 THIRD AVENUE,High Bridge - Morrisania,178.0,37.2262764,274.0,78.8,38.1,15.0,49.8,Tier 3 - Moderate
150,10X118,J.H.S. 118 William W. Niles,Middle School,577 EAST 179 STREET,Crotona - Tremont,171.9,34.23077011,520.0,57.7,29.4,74.8,49.8,Tier 3 - Moderate
