dbn,school_name,has_mshp,propensity_score,ps_quintile,chronic_absenteeism_rate
10X546,Bronx Theatre High School,False,0.35382804681302954,Q5,68.67469788
07X548,Careers in Sports High School,True,0.2158453087915187,Q2,47.6595726
10X549,Discovery High School,True,0.2596050201749628,Q5,24.57420921
12X550,High School of World Cultures,False,0.21615035430811594,Q2,32.77511978
07X551,The Urban Assembly Bronx Academy of Letters,False,0.2167646911481779,Q2,63.76146698
09X555,Mount Eden Children's Academy,True,0.2194406098875175,Q2,26.27737236
11X556,Bronx Park Middle School,False,0.2715588481813106,Q5,46.22356415
08X558,Westchester Square Academy,True,0.24103522819013562,Q4,55.26932144
08X561,Bronx Compass High School,True,0.22389632588477285,Q2,42.29885101
08X562,Blueprint Middle School,False,0.21670972764396268,Q2,41.70854187
09X564,Claremont International HS,True,0.2309855027077634,Q3,35.87174225
10X565,High School for Energy and Technology,False,0.27211881884837336,Q5,43.39080429
11X566,Pelham Gardens Middle School,False,0.26367141696500185,Q5,46.13003159
11X567,Linden Tree Elementary School,False,0.23591241992858947,Q3,34.95701981
09X568,Young Women's Leadership School of the Bronx,False,0.22546454258020912,Q3,33.13492203
08X583,P.S. 583,False,0.23573841328784842,Q3,33.47826004
07X584,I.S. 584,False,0.21723599562656887,Q2,36.71497726
09X593,South Bronx International Middle School,True,0.23492438601818366,Q3,12.5
09X594,M.S. 594,True,0.24232960742897164,Q4,27.21518898
12X595,P.S. 595,False,0.23301402883488256,Q3,45.72490692
07X600,Alfred E. Smith Career and Technical Education Hig,False,0.2266040976118954,Q3,56.45933151
07X670,Health Opportunities High School,False,0.23155036207244994,Q3,45.45454407
12X682,Fannie Lou Hamer Freedom High School,False,0.22540334549317861,Q3,65.07936859
12X684,Wings Academy,False,0.23634034337234627,Q3,58.62068939
12X691,Bronx Little School,False,0.22613430614721672,Q3,21.5339241
10X696,High School of American Studies at Lehman College,False,0.3929936873226128,Q5,7.848101139
