dbn,school_name,school_type,enrollment,uhf_name,lat,lon,chronic_absenteeism_rate,asthma_ed_rate,svi_overall,svi_socioeconomic,distance_to_nearest_mshp_miles,accessibility_tier,asthma_score,absenteeism_score,enrollment_score,svi_score,isolation_score,enhanced_priority_score,enhanced_priority_rank,enhanced_priority_tier
09X035,P.S. 035 Franz Siegel,Elementary,402.0,High Bridge - Morrisania,40.828009,-73.917705,38.55721283,178.0,0.8775,0.92,0.1942605199853488,Very Close (<0.25 mi),78.84615384615384,55.24475524475524,54.37062937062937,78.84615384615384,14.51048951048951,60.8041958041958,70,Tier 2 - High (10-25%)
10X003,P.S. 3 Raul Julia Micro Society,Elementary,325.0,Crotona - Tremont,40.850131,-73.89163,44.30769348,171.9,0.8524999999999999,0.88,0.6124725290954484,Moderate (0.5-1 mi),57.692307692307686,78.32167832167832,34.96503496503497,57.692307692307686,68.53146853146853,60.03496503496503,71,Tier 2 - High (10-25%)
09X324,Bronx Early College Academy for Teaching & Learnin,High School,376.0,High Bridge - Morrisania,40.828009,-73.917705,39.36170197,178.0,0.8775,0.92,0.1942605199853488,Very Close (<0.25 mi),78.84615384615384,58.04195804195804,44.75524475524475,78.84615384615384,14.51048951048951,59.921328671328666,72,Tier 3 - Moderate (25-50%)
09X070,P.S. 070 Max Schoenfeld,Elementary,822.0,Crotona - Tremont,40.844236,-73.90807,40.14598465,171.9,0.8524999999999999,0.88,0.32111485057521444,Close (0.25-0.5 mi),57.692307692307686,61.18881118881119,93.7062937062937,57.692307692307686,31.46853146853147,59.86013986013985,73,Tier 3 - Moderate (25-50%)
07X296,South Bronx Academy for Applied Media,High School,183.0,High Bridge - Morrisania,40.818703,-73.905389,41.530056,178.0,0.8775,0.92,0.3297001445980488,Close (0.25-0.5 mi),78.84615384615384,65.73426573426573,15.034965034965033,78.84615384615384,33.39160839160839,59.83391608391608,74,Tier 3 - Moderate (25-50%)
12X595,P.S. 595,Elementary,269.0,Crotona - Tremont,40.846205,-73.889602,45.72490692,171.9,0.8524999999999999,0.88,0.6901510508009476,Moderate (0.5-1 mi),57.692307692307686,79.72027972027972,24.475524475524477,57.692307692307686,75.17482517482517,59.73776223776223,75,Tier 3 - Moderate (25-50%)
08X146,P.S. 146 Edward Collins,Elementary,321.0,High Bridge - Morrisania,40.824717,-73.905734,40.80996704,178.0,0.8775,0.92,0.2116328290111075,Very Close (<0.25 mi),78.84615384615384,62.93706293706294,33.39160839160839,78.84615384615384,17.482517482517483,59.641608391608386,76,Tier 3 - Moderate (25-50%)
12X273,Frederick Douglass Academy V. Middle School,Middle School,174.0,Crotona - Tremont,40.848748,-73.888987,46.55172348,171.9,0.8524999999999999,0.88,0.7408295424794681,Moderate (0.5-1 mi),57.692307692307686,81.81818181818183,13.986013986013987,57.692307692307686,81.64335664335664,59.5541958041958,77,Tier 3 - Moderate (25-50%)
10X059,P.S. 059 The Community School of Technology,Elementary,417.0,Crotona - Tremont,40.853141,-73.893639,43.88489151,171.9,0.8524999999999999,0.88,0.3872094283320081,Close (0.25-0.5 mi),57.692307692307686,76.92307692307693,59.44055944055944,57.692307692307686,42.65734265734265,59.54545454545454,78,Tier 3 - Moderate (25-50%)
10X033,P.S. 033 Timothy Dwight,Elementary,849.0,Fordham - Bronx Park,40.861698,-73.901268,49.70553589,132.4,0.7549999999999999,0.78,0.4021033995449148,Close (0.25-0.5 mi),39.68531468531469,89.16083916083916,94.75524475524476,39.68531468531469,46.85314685314685,58.91608391608392,79,Tier 3 - Moderate (25-50%)
07X557,Mott Haven Community High School,High School,,Hunts Point - Mott Haven,40.810671,-73.907528,,192.3,0.9125,0.95,0.5526470461951304,Moderate (0.5-1 mi),94.05594405594405,5.419580419580419,5.419580419580419,94.05594405594405,64.86013986013987,58.65384615384615,80,Tier 3 - Moderate (25-50%)
10X094,P.S. 094 Kings College School,Elementary,813.0,Fordham - Bronx Park,40.880661,-73.875268,40.95940781,132.4,0.7549999999999999,0.78,0.7175381188443699,Moderate (0.5-1 mi),39.68531468531469,63.63636363636363,93.35664335664336,39.68531468531469,80.06993006993007,58.583916083916094,81,Tier 3 - Moderate (25-50%)
12X271,East Bronx Academy for the Future,High School,688.0,Crotona - Tremont,40.836821,-73.887688,43.6046524,171.9,0.8524999999999999,0.88,0.15689435380670635,Very Close (<0.25 mi),57.692307692307686,75.87412587412588,87.06293706293707,57.692307692307686,8.741258741258742,58.39160839160839,82,Tier 3 - Moderate (25-50%)
