dbn,school_name,lat,lon,uhf_name,distance_to_nearest_mshp_miles,nearest_mshp_dbn,nearest_mshp_name,walking_time_mins,accessibility_tier
12X521,The Metropolitan Soundview High School,40.832508,-73.878191,Pelham - Throgs Neck,0.6977992668893075,12X251,Explorations Academy H.S.,13.95598533778615,Moderate (0.5-1 mi)
07X522,Bronx Design and Construction Academy,40.818645,-73.919949,High Bridge - Morrisania,0.21303154765431873,07X018,P.S. 018 John Peter Zenger,4.260630953086374,Very Close (<0.25 mi)
10X524,Crotona International High School,40.855392,-73.882487,Fordham - Bronx Park,0.426783051825392,10X243,West Bronx Academy for the Future,8.53566103650784,Close (0.25-0.5 mi)
09X525,Bronx Leadership Academy High School,40.84325,-73.902969,Crotona - Tremont,0.20100208586685891,09X313,I.S. 313 School of Leadership Development,4.020041717337178,Very Close (<0.25 mi)
08X530,Longwood Preparatory Academy,40.817741,-73.897876,Hunts Point - Mott Haven,0.35006559462134706,12X217,School of Performing Arts,7.0013118924269415,Close (0.25-0.5 mi)
12X531,Archer Elementary School,40.838151,-73.866038,Crotona - Tremont,1.031280020920254,11X105,P.S. 105 Sen Abraham Bernstein,20.625600418405078,Far (>1 mi)
12X536,P.S. 536,40.838151,-73.866038,Crotona - Tremont,1.031280020920254,11X105,P.S. 105 Sen Abraham Bernstein,20.625600418405078,Far (>1 mi)
08X537,Bronx Arena High School,40.820486,-73.881187,Pelham - Throgs Neck,0.6977166439294773,12X217,School of Performing Arts,13.954332878589547,Moderate (0.5-1 mi)
10X546,Bronx Theatre High School,40.877379,-73.912686,Kingsbridge - Riverdale,0.9982001892234688,10X268,Kingsbridge International High School,19.964003784469377,Moderate (0.5-1 mi)
12X550,High School of World Cultures,40.832508,-73.878191,Pelham - Throgs Neck,0.6977992668893075,12X251,Explorations Academy H.S.,13.95598533778615,Moderate (0.5-1 mi)
07X551,The Urban Assembly Bronx Academy of Letters,40.813681,-73.925995,High Bridge - Morrisania,0.25346085311135386,07X018,P.S. 018 John Peter Zenger,5.069217062227077,Close (0.25-0.5 mi)
11X556,Bronx Park Middle School,40.862098,-73.865028,Fordham - Bronx Park,0.2520886019817358,11X288,Collegiate Institute for Math and Science,5.041772039634717,Close (0.25-0.5 mi)
07X557,Mott Haven Community High School,40.810671,-73.907528,Hunts Point - Mott Haven,0.5526470461951304,07X473,Mott Haven Village Preparatory High School,11.052940923902607,Moderate (0.5-1 mi)
08X559,School for Tourism and Hospitality,40.821723,-73.902892,High Bridge - Morrisania,0.2605888920584935,12X446,Arturo A. Schomburg Satellite Academy Bronx,5.21177784116987,Close (0.25-0.5 mi)
