dbn,school_name,uhf_name,has_mshp,health_burden_weighted,health_burden_rank,burden_tier,asthma_ed_rate,childhood_obesity_pct,youth_mental_health_ed_rate,lead_elevated_pct,food_insecurity_pct,enrollment
12X531,Archer Elementary School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,341.0
12X129,M.S. 129 Academy for Independent Learning and Lead,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,253.0
09X525,Bronx Leadership Academy High School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,393.0
10X118,J.H.S. 118 William W. Niles,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,520.0
09X117,I.S. 117 Joseph H. Wade,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,365.0
12X511,Bronx Envision Academy,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,292.0
09X109,P.S. 109 Sedgwick,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,455.0
10X447,Creston Academy,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,433.0
10X091,P.S. 091 Bronx,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,398.0
12X458,Samara Community School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,342.0
12X057,P.S. 057 Crescent,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,408.0
10X396,P.S. 396,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,241.0
09X413,Bronx High School for Medical Science,Crotona - Tremont,True,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,411.0
10X391,The Angelo Patri Middle School,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,381.0
09X204,P.S. 204 Morris Heights,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,610.0
10X209,P.S. 209,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,168.0
12X211,P.S. 211,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,209.0
10X051,The Bronx STEM and Arts Academy,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,155.0
12X190,E.S.M.T- I.S. 190,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,243.0
75X188,P.S. X188,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,
12X044,P.S. 044 David C. Farragut,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,216.0
10X382,"Elementary School for Math, Science, and Technolog",Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,
12X383,Emolior Academy,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,406.0
10X386,School for Environmental Citizenship,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,597.0
10X390,M.S. 390,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,333.0
09X365,Academy for Language and Technology,Crotona - Tremont,False,59.86,3,Moderate,171.9,31.2,142.6,3.2,32.4,380.0
10X565,High School for Energy and Technology,Fordham - Bronx Park,False,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,348.0
75X469,P469X - The Bronx School for Continuous Learners,Fordham - Bronx Park,False,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,
10X442,"Celia Cruz Bronx High School of Music, The",Fordham - Bronx Park,True,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,410.0
11X468,Pelham Academy of Academics and Community Engageme,Fordham - Bronx Park,False,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,298.0
10X696,High School of American Studies at Lehman College,Fordham - Bronx Park,False,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,395.0
11X556,Bronx Park Middle School,Fordham - Bronx Park,False,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,331.0
10X445,The Bronx High School of Science,Fordham - Bronx Park,True,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,2958.0
10X363,Academy For Personal Leadership And Excellence,Fordham - Bronx Park,False,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,857.0
10X524,Crotona International High School,Fordham - Bronx Park,False,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,395.0
10X315,P.S. 315 Lab School,Fordham - Bronx Park,False,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,217.0
11X326,Bronx Green Middle School,Fordham - Bronx Park,False,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,380.0
10X439,Bronx High School for Law and Community Service,Fordham - Bronx Park,True,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,381.0
10X340,P.S. 340,Fordham - Bronx Park,False,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,604.0
11X370,Leaders of Tomorrow,Fordham - Bronx Park,True,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,455.0
10X438,Fordham Leadership Academy,Fordham - Bronx Park,True,40.95,4,Moderate,132.4,28.4,115.3,2.1,24.5,390.0
