dbn,school_name,year,enrollment,chronic_absenteeism_rate
12X047,P.S. 047 John Randolph,2024-25,868,35.02304077
12X057,P.S. 057 Crescent,2024-25,408,43.13725662
12X061,P.S. 061 Francisco Oller,2024-25,195,37.43589783
12X066,P.S. 066 School of Higher Expectations,2024-25,521,33.39731216
12X067,P.S. 067 Mohegan School,2024-25,343,45.77259445
12X129,M.S. 129 Academy for Independent Learning and Lead,2024-25,253,32.80632401
12X134,P.S. 134 George F. Bristow,2024-25,506,42.49011993
12X150,P.S. 150 Charles James Fox,2024-25,556,46.58273315
12X190,E.S.M.T- I.S. 190,2024-25,243,43.20987701
12X195,P.S. 195,2024-25,765,29.01960754
12X196,P.S. 196,2024-25,744,32.66128922
12X211,P.S. 211,2024-25,209,36.36363602
12X214,P.S. 214,2024-25,927,48.22006607
12X217,School of Performing Arts,2024-25,156,44.23077011
12X242,Mott Hall V,2024-25,662,32.3262825
12X248,"Metropolitan High School, The",2024-25,205,61.95121765
12X251,Explorations Academy H.S.,2024-25,278,36.33093643
12X267,Bronx Latin,2024-25,485,46.80412292
12X271,East Bronx Academy for the Future,2024-25,688,43.6046524
12X273,Frederick Douglass Academy V. Middle School,2024-25,174,46.55172348
12X286,Fannie Lou Hamer Middle School,2024-25,271,41.69741821
12X300,The School of Science and Applied Learning,2024-25,423,48.2269516
12X314,Fairmont Neighborhood School,2024-25,284,41.1971817
12X316,Kappa III,2024-25,272,36.76470566
12X318,"I.S. X318 Math, Science & Technology Through Arts",2024-25,301,45.5149498
12X341,Accion Academy,2024-25,214,40.65420532
12X383,Emolior Academy,2024-25,406,37.68473053
12X388,Pan American International High School at Monroe,2024-25,389,40.35989761
12X458,Samara Community School,2024-25,342,25.14619827
12X463,Urban Scholars Community School,2024-25,322,42.23602295
12X478,The Cinema School,2024-25,319,51.09717941
12X479,Bronx Career and College Preparatory High School,2024-25,162,69.7530899
12X511,Bronx Envision Academy,2024-25,292,53.08219147
12X521,The Metropolitan Soundview High School,2024-25,403,38.70967865
12X531,Archer Elementary School,2024-25,341,27.27272797
12X536,P.S. 536,2024-25,311,21.54340744
12X550,High School of World Cultures,2024-25,418,32.77511978
12X595,P.S. 595,2024-25,269,45.72490692
12X626,Cultivating Hearts and Minds Pre-K Center,2024-25,194,71.13401794
12X641,Bard High School Early College Bronx,2024-25,251,19.12350655
12X682,Fannie Lou Hamer Freedom High School,2024-25,441,65.07936859
12X684,Wings Academy,2024-25,261,58.62068939
12X691,Bronx Little School,2024-25,339,21.5339241
